Gene	Connectivity(STRING_Score>=0.9)
RIPK3	15
PCGF2	15
PTPN12	15
GLI1	15
GLI3	15
MIS12	15
RAE1	15
EXOSC9	15
C2	15
IFNG	15
IFNGR1	15
IFNGR2	15
PRKCB	15
STK3	15
EPOR	15
EHMT1	15
L3MBTL2	15
VPS53	15
PF4	15
CDC25B	15
NELFA	15
PECAM1	15
PHF5A	15
PTPRJ	15
TAF3	15
ZNRF1	15
CKAP5	15
ORC4	15
SMC2	15
SMN2	15
SYMPK	15
WDR33	15
MLLT4	15
NDEL1	15
PLXNA2	15
PLXNA4	15
CEP250	15
RAB3A	15
RABGGTA	15
RABGGTB	15
IFT81	15
TTC26	15
PLOD1	15
SOCS2	15
RXRG	15
STRIP1	15
STRN3	15
TRIM32	15
SHANK1	15
MMP14	15
GRWD1	15
GEMIN2	15
TFIP11	15
UBA7	15
PIK3CG	15
HES1	15
FES	15
TRAPPC1	15
IL10RB	15
IL4R	15
REV1	15
KRT28	15
KRT4	15
KRT81	15
KRT85	15
TRIM39	15
SESN2	15
MRPL57	15
TUBGCP4	15
NDUFV3	15
NUP98	15
PSMB10	15
TAF13	15
TRAPPC12	15
GARS	14
IARS	14
NOL10	14
CCND2	14
SPAG9	14
AGT	14
CFL1	14
ACTR8	14
INO80B	14
INO80E	14
NFRKB	14
TFPT	14
MYH6	14
SMAD9	14
TFRC	14
TNRC6A	14
GEMIN4	14
APOE	14
IQCB1	14
CASP1	14
AKT1S1	14
EGLN1	14
FOXO4	14
HSPB1	14
ING5	14
SNAI1	14
USP8	14
PLK4	14
PCF11	14
DERL2	14
FAF2	14
ANAPC13	14
ANAPC16	14
CDC26	14
HECW2	14
NRCAM	14
SPTBN1	14
AP1S3	14
ARFGAP1	14
KIF4A	14
NUMB	14
ASAP1	14
PSEN2	14
FANCL	14
XRCC4	14
WDR48	14
COPZ1	14
RAC2	14
RHOG	14
EIF4G3	14
TUBB2B	14
RAB2A	14
CLOCK	14
TBXA2R	14
VWA9	14
BAP1	14
JUND	14
ATG3	14
ATG16L1	14
UBA6	14
PDHB	14
COX7C	14
RAB14	14
ATP6V1E1	14
TAF5L	14
MRPS18A	14
MRPS23	14
MRPS25	14
KLHL13	14
PIN1	14
NUP43	14
BRCC3	14
PALB2	14
RAPGEF1	14
PDHA1	14
RELB	14
YKT6	14
FASLG	14
XRCC3	14
CBX6	14
PHC3	14
ZW10	14
KSR1	14
LAMTOR3	14
MAP2K3	14
MARK3	14
SIN3B	14
CNOT7	14
SPC24	14
BUD31	14
NOC4L	14
CD19	14
STK24	14
DCUN1D5	14
MAGOHB	14
UBE2F	14
PPP4C	14
MAML2	14
CCNE2	14
ERCC5	14
NELFE	14
TLR2	14
TXNL4A	14
THBS1	14
UBTF	14
PARD6A	14
SEPT7	14
CPSF7	14
STAG2	14
PLXNA3	14
CIT	14
HAUS5	14
CRCP	14
SARNP	14
TFAP2A	14
HSPB11	14
IFT57	14
CNOT6	14
FEM1B	14
POLR3H	14
NFATC1	14
EPO	14
DLAT	14
VPRBP	14
SHANK2	14
NAT10	14
SENP3	14
GEMIN5	14
HBS1L	14
EIF4H	14
SMG1	14
POLR2K	14
LAT2	14
KITLG	14
GABBR2	14
RABGEF1	14
GNG3	14
KAT8	14
UBAP1	14
SGK1	14
POLI	14
KRT13	14
KRT80	14
LCE1B	14
LCE2C	14
MRPL30	14
SKI	14
VTI1B	14
NDUFA10	14
NDUFB4	14
RPRD1B	14
RNF114	14
TAF7L	14
TRAPPC8	14
TRAPPC2	14
TRAPPC2L	14
TRAPPC5	14
DARS	13
QARS	13
ABCE1	13
EIF3J	13
CLASP1	13
DMD	13
INO80C	13
PBRM1	13
MYH3	13
MYH8	13
ARPC5	13
SH3GL1	13
ADAM17	13
CACNG2	13
GRM1	13
PHB	13
VAMP7	13
DIS3	13
KARS	13
MARS	13
PKM	13
GAPDH	13
NOTCH4	13
ENO1	13
TALDO1	13
POLDIP3	13
AMFR	13
ANK1	13
NFASC	13
LDLR	13
RPS6KA1	13
CYCS	13
DIABLO	13
AXIN2	13
FANCE	13
MAPK10	13
FKBP5	13
SEMA4D	13
GIT1	13
UBE2R2	13
CRY1	13
CRY2	13
H3F3A	13
ASXL1	13
MGRN1	13
SYVN1	13
KIF2C	13
MRPS14	13
WNT1	13
B9D2	13
BRE	13
NLRP3	13
BCL2L11	13
HSPA1L	13
RNF126	13
CSTF1	13
FRS3	13
SCFD1	13
RAB6B	13
TNFRSF10B	13
CD40	13
CD79A	13
CD79B	13
CBX7	13
MUS81	13
POLE	13
GTF3C3	13
UTP15	13
CSH1	13
GLI2	13
NFKBIB	13
TNIP2	13
WDR3	13
MEF2D	13
CACNB3	13
GRIA2	13
DCUN1D2	13
HIPK2	13
IL7R	13
MGA	13
COMMD8	13
VPS29	13
PDCD10	13
CDC25A	13
CDCA5	13
MAML3	13
RRN3	13
ORC3	13
NELFCD	13
DDX46	13
TRAF5	13
CEBPZ	13
CENPQ	13
NPHP4	13
MECOM	13
RAB27A	13
RAB8B	13
SNF8	13
DCN	13
TFAP2C	13
IFT27	13
FBXO17	13
NDUFB3	13
CSTF2T	13
POLR3GL	13
PIAS3	13
SUFU	13
IGFBP3	13
LIMD1	13
SIAH2	13
RRP15	13
GEMIN6	13
SZT2	13
IMP3	13
HOMER1	13
HOMER2	13
HOMER3	13
EIF2AK2	13
MAPK7	13
DYNLT1	13
NTRK3	13
TOLLIP	13
RBM14	13
NR1H3	13
PGR	13
UFD1L	13
FLNA	13
RNF115	13
GNG4	13
PLCB2	13
GNAT1	13
MVB12B	13
VPS37C	13
STAT2	13
LDB1	13
KRT37	13
KRT6B	13
KRT74	13
KRT78	13
KRT83	13
LCE2B	13
MYL3	13
NDUFB6	13
NDUFA7	13
TFG	13
RPL39	13
ZRSR2	13
TRAPPC3	13
TRAPPC4	13
MMP1	12
CYFIP1	12
WASF1	12
ABL2	12
BNIP2	12
CDH15	12
CTNNA2	12
RAD52	12
DDOST	12
INO80D	12
TNNI1	12
ALDOA	12
ARPC1B	12
ACVR1B	12
ADAM10	12
TNFRSF1B	12
UBQLN1	12
TLE1	12
TLE3	12
AFF4	12
PMPCB	12
AGO1	12
DDX6	12
ARAF	12
RARS	12
RARG	12
PRKAR1A	12
AKAP5	12
PKN1	12
KAT6A	12
MAP3K8	12
PPP2R4	12
RICTOR	12
PPIH	12
UBE2G2	12
ANGPT1	12
CLINT1	12
EPS15L1	12
FCHO2	12
CENPH	12
CENPM	12
FANCC	12
FANCF	12
RBM22	12
RAB11FIP3	12
EXOC5	12
SUDS3	12
TUBB2A	12
ASB2	12
RNF41	12
TCF4	12
DPY30	12
WDR82	12
ATP5L	12
ATG7	12
FUNDC1	12
MAP1LC3A	12
ATP6V1D	12
UBE2T	12
SUPT20H	12
TADA2A	12
CDCA8	12
NUP205	12
FZD1	12
HLA-G	12
KLRD1	12
BABAM1	12
HSPA2	12
MCL1	12
POLE3	12
MYBBP1A	12
CWC15	12
NTF4	12
GRIN2C	12
GRIN2D	12
STAG1	12
TOP2A	12
ITGA3	12
CNOT6L	12
FBXW2	12
NFKBIE	12
PRL	12
PRLR	12
MPHOSPH6	12
STK25	12
MYLK	12
EBI3	12
IL12A	12
RPN2	12
UPF3A	12
LCE1A	12
DBNL	12
PRC1	12
E2F5	12
DNAJA1	12
DNAJA4	12
CD80	12
WBP11	12
DDX42	12
EXOC2	12
ILF2	12
ILF3	12
KHDRBS1	12
KPNA2	12
NUP155	12
WDR61	12
EXOC3	12
LIN37	12
MZT2B	12
TUBGCP5	12
GTF2E2	12
GTF2H3	12
TAF2	12
HDAC6	12
NIP7	12
FBF1	12
HAUS4	12
RAB31	12
VPS4A	12
VPS25	12
SHARPIN	12
TFAP2B	12
TRIM24	12
CNOT2	12
TOB1	12
LAMA1	12
COL1A1	12
FBXL15	12
CPSF4	12
CPSF3L	12
CRTC2	12
IGFALS	12
NCF1	12
DLGAP1	12
XRN1	12
DYNLRB1	12
IMP4	12
NPRL2	12
WDR24	12
RBM5	12
DIS3L	12
GRM5	12
SYT1	12
TAF1B	12
UTP3	12
TNPO1	12
M6PR	12
RABEPK	12
PLCB3	12
TEX10	12
RANBP9	12
VPS37A	12
IL1R1	12
LAMB2	12
KRT24	12
KRT26	12
KRT20	12
KRT76	12
LCE1C	12
LRSAM1	12
MRPL34	12
TAF1D	12
UBOX5	12
RPP30	12
SEC16A	12
SEC16B	12
TRAPPC10	12
PEX19	11
NCKAP1	11
POT1	11
TINF2	11
EPHA2	11
ACTA1	11
ACTN4	11
AGRN	11
TPM2	11
TPM3	11
RASGRF1	11
RASGRF2	11
ACTR1B	11
FKBP1A	11
INHBA	11
NODAL	11
ACVR1C	11
ZFYVE16	11
MAD2L2	11
GRK5	11
EAF1	11
MLLT3	11
DICER1	11
AHI1	11
NPHP1	11
TUBA3E	11
AIMP1	11
PRKAR1B	11
ROBO2	11
NOS3	11
BIN1	11
REPS2	11
PPP6C	11
ANP32E	11
FTH1	11
KIF4B	11
CASK	11
LIG4	11
ISY1	11
SART3	11
COPZ2	11
BRMS1	11
SAP130	11
EIF4E3	11
PER2	11
RAP1GAP	11
KDM6A	11
KMT2D	11
ATP5J	11
ATP6V0A1	11
ATP6V1B2	11
MRPL53	11
KLHL9	11
FZD2	11
KLRC2	11
PDIA3	11
TAP1	11
FAM175A	11
CASP2	11
SUV39H1	11
RAD51AP1	11
POU2F1	11
PCGF3	11
LMNB1	11
NOC3L	11
CHMP5	11
GLMN	11
MATK	11
MEMO1	11
FBXW8	11
SPC25	11
PWP2	11
TF	11
PPP3CA	11
CACNB4	11
EEF1G	11
SDC2	11
DSP	11
PLEC	11
RUNX2	11
FLT1	11
MS4A2	11
METTL3	11
WTAP	11
DR1	11
COMMD10	11
COMMD2	11
COMMD6	11
MAP3K3	11
CDK3	11
CKS2	11
GTF2H2	11
TCF12	11
HBB	11
CD86	11
PTPN22	11
TRIM37	11
KLC2	11
SFPQ	11
SRP68	11
E2F3	11
CENPC	11
CENPN	11
TIPIN	11
RAB10	11
VAPA	11
CNOT11	11
COG6	11
COL8A2	11
FBXL5	11
KLHL42	11
COX7A2L	11
PAPOLA	11
POLR3K	11
MYOD1	11
VDR	11
INPPL1	11
CTCF	11
STRN4	11
KLHL12	11
CYBA	11
CYSLTR2	11
LAMA5	11
DLGAP2	11
DLGAP3	11
DLGAP4	11
DCP1A	11
RPN1	11
SSR3	11
GEMIN8	11
GCFC2	11
DEPDC5	11
WDR59	11
EMC2	11
RNF14	11
DHX16	11
PDHX	11
LRFN1	11
GRIK3	11
GRPEL1	11
TMEM173	11
UBE2Z	11
LIN54	11
LIN9	11
IL12RB2	11
NDUFB1	11
KALRN	11
LRRK2	11
EIF3CL	11
NID1	11
FBN1	11
OTUB1	11
MSH3	11
EXOC8	11
RALA	11
F9	11
GP1BA	11
GP1BB	11
GP5	11
GP9	11
F2RL2	11
F2RL3	11
RAB2B	11
RNF43	11
OPTN	11
NDUFAB1	11
RCHY1	11
GPR161	11
RNGTT	11
HDAC9	11
VPS37B	11
VPS37D	11
MALSU1	11
IFNAR1	11
IFNB1	11
IL12B	11
IL1RAP	11
SCAP	11
USP15	11
MAPK8IP3	11
TRIM50	11
NUP50	11
NUP88	11
KRT14	11
MAF1	11
SLMAP	11
MYL2	11
MZT1	11
SPRTN	11
PPM1A	11
UBLCP1	11
VPS35	11
UBE4B	11
TRAIP	11
RPL36AL	11
RPL37	11
TRAPPC3L	11
TRAPPC6B	11
MMP13	10
ETF1	10
CYFIP2	10
NDUFC2	10
TERF2IP	10
CAPN1	10
ARPC1A	10
SRCAP	10
ENG	10
ADAM22	10
ADAM23	10
AGTR1	10
TLE4	10
MLLT1	10
PHB2	10
FCHO1	10
AGO3	10
PTPRS	10
PEX5	10
CC2D2A	10
PYCARD	10
AIMP2	10
EEF1E1	10
PPP3CB	10
BRPF1	10
PDK1	10
MYO5A	10
LDHA	10
TKT	10
THOC6	10
FBXO2	10
ANK2	10
HIP1R	10
DNAL4	10
HIP1	10
PCSK9	10
AP3B1	10
DTNBP1	10
APBB1	10
PSENEN	10
CENPK	10
CENPT	10
SAMM50	10
GGA1	10
INS	10
POMC	10
DHX8	10
ISY1-RAB43	10
RRAS	10
ARHGAP35	10
ARHGEF11	10
ARHGEF12	10
EPHA4	10
PHF10	10
SAP30L	10
FLNB	10
ARNTL	10
NPAS2	10
PER1	10
SMO	10
HAT1	10
KMT2C	10
SETD1A	10
INTS2	10
INTS4	10
INTS7	10
ASXL2	10
MAP1LC3C	10
TOMM22	10
ATP6V0D2	10
ATP6V1F	10
CD59	10
ATP6V1C2	10
HMMR	10
RACGAP1	10
SGOL1	10
CD8A	10
PPP3R1	10
ENAH	10
BAX	10
BAZ1B	10
BBS7	10
BET1L	10
LMAN1	10
NAPB	10
LTA	10
CBX2	10
BNIP1	10
USE1	10
KAT7	10
GTF3C5	10
MMS19	10
CNOT8	10
RBM19	10
CACNA2D2	10
CACNB1	10
CACNB2	10
GRIA4	10
SUGT1	10
DCUN1D4	10
IL27	10
GRIP1	10
IL1A	10
IL1B	10
TNFRSF10A	10
TNFSF10	10
STK4	10
MBIP	10
YEATS2	10
COMMD3	10
COMMD4	10
COMMD9	10
GTF2H5	10
WRAP53	10
PFDN5	10
TIRAP	10
CD28	10
CD3EAP	10
POLR1E	10
MMP9	10
FBXW5	10
PPP2R5E	10
PARD6B	10
GINS4	10
EXOC4	10
EXOC7	10
LUC7L	10
SMC4	10
WDR18	10
RNF20	10
RTF1	10
MZT2A	10
TUBGCP6	10
CENPI	10
HIST1H2AB	10
HJURP	10
SCLT1	10
NDE1	10
PRPF38A	10
ITGA2	10
CHTF18	10
FYTTD1	10
CISH	10
LAMP1	10
LIFR	10
CLP1	10
CNOT3	10
PACSIN1	10
PACSIN3	10
ITGA5	10
FBXL18	10
GSPT1	10
NLK	10
EPHA3	10
PTPRF	10
DET1	10
USP1	10
DCP2	10
MIOS	10
EMC1	10
EMC3	10
ERLEC1	10
RCC1	10
NMD3	10
PDHA2	10
EPC2	10
DNAJA2	10
DNAJC3	10
IL27RA	10
PTPN2	10
SHC2	10
EIF5	10
MKNK1	10
SMNDC1	10
MFAP2	10
MFAP5	10
PGM1	10
TPI1	10
GATA1	10
GYS1	10
PPP1R3C	10
EXOC6	10
F11R	10
PROC	10
FAM60A	10
FARP2	10
FGF2	10
TREM2	10
ZNRF3	10
SPI1	10
PLCB1	10
GNG5	10
GNAT2	10
NTF3	10
SKIL	10
RALGDS	10
RASSF5	10
USP2	10
IL20RA	10
IL12RB1	10
IL13RA1	10
IL4	10
PTPRD	10
POLE2	10
NUP54	10
KRT39	10
KRT18	10
LAMTOR1	10
LCE1E	10
LCE1F	10
RBM25	10
PARK7	10
MYL1	10
MYL4	10
ZCRB1	10
PFDN2	10
PEX1	10
PEX6	10
ZFAND6	10
POLR3G	10
POP4	10
VPS26A	10
RLIM	10
RNF25	10
SERBP1	10
SEPT2	10
TRIM63	10
TRAPPC6A	10
TRAPPC9	10
LRP1	9
AAK1	9
RALBP1	9
AARS	9
NCKIPSD	9
CLASP2	9
RIN1	9
ACAA1	9
TMEM126B	9
SAP18	9
IDH1	9
EVL	9
COG3	9
ACTR3B	9
ACVR1	9
ACVRL1	9
GNAZ	9
SLC9A3R1	9
GYG1	9
LMNA	9
SAV1	9
AKAP1	9
KHSRP	9
MST1R	9
VIM	9
SERPING1	9
PGAM1	9
ALMS1	9
DDX39A	9
SCN1B	9
SCN5A	9
RAB21	9
SET	9
ANXA1	9
CHMP2A	9
NECAP2	9
RPS6KA3	9
APH1A	9
FANCB	9
APOB	9
S1PR1	9
PQBP1	9
CNGB1	9
ARL1	9
NAA38	9
BCL7A	9
ARID2	9
ARID4B	9
ASB9	9
SLC25A4	9
PPP2R2D	9
CCR5	9
PIK3C2A	9
TRIM11	9
H1F0	9
HIST2H4A	9
ASUN	9
MBTPS1	9
MDM4	9
ATP1B1	9
ATP5I	9
MDH2	9
ATP6V0C	9
TCIRG1	9
ATP6V1A	9
CEP164	9
BIRC5	9
BORA	9
GADD45A	9
SH2D2A	9
TAP2	9
MKS1	9
BAG4	9
TOP2B	9
BBS4	9
KNG1	9
COG1	9
GGCX	9
LTBR	9
TAX1BP1	9
TNFSF13B	9
NBAS	9
BRAP	9
PRKCE	9
WDR83	9
SLC3A2	9
TNFRSF14	9
CLIP1	9
DDX10	9
NOB1	9
F12	9
C6	9
C7	9
C8A	9
C8B	9
C8G	9
C9	9
CACNA1F	9
CACNA1C	9
CAMKK2	9
SLC9A1	9
FLG	9
GSPT2	9
CD2AP	9
EPN2	9
GAPVD1	9
IL6	9
IL6R	9
KIAA1429	9
METTL14	9
HIST2H3D	9
COMMD7	9
MYBL2	9
ESPL1	9
MED12L	9
CEP76	9
GNG10	9
TLR1	9
COL17A1	9
DST	9
SLU7	9
TAF1C	9
HLA-DMA	9
KIF5A	9
KTN1	9
MAP3K11	9
SEPT5	9
GINS3	9
RPA4	9
EXOC1	9
WAPAL	9
SNX1	9
CDH5	9
CEBPA	9
KPNA1	9
TRIP12	9
RAB35	9
VPS4B	9
CHMP3	9
CLNS1A	9
TRAF3IP1	9
RQCD1	9
ZFP36	9
TLR7	9
PACSIN2	9
COG4	9
COL4A2	9
COLGALT2	9
KIF5B	9
FBXO11	9
KLHL22	9
COX6B1	9
RBBP6	9
SRF	9
TLE2	9
SUPT6H	9
CTTNBP2NL	9
GAN	9
KLHL2	9
PJA2	9
DDX47	9
RRP9	9
DDX54	9
PWP1	9
GEMIN7	9
NPRL3	9
POP1	9
NHP2	9
OGDH	9
LRFN2	9
PDLIM5	9
SIPA1L1	9
KIF2B	9
LIN52	9
SMU1	9
NSMCE2	9
EMC7	9
MMGT1	9
F10	9
F11	9
LAS1L	9
UBE2J2	9
FCER1A	9
IGFBP5	9
TOMM20	9
GNGT1	9
KCNJ2	9
TAL1	9
PHF12	9
IFNAR2	9
GPS2	9
PDGFA	9
PICK1	9
IL7	9
SPHK1	9
NUP188	9
OXA1L	9
MFAP1	9
IL22RA1	9
IL13	9
LEP	9
PLAUR	9
NUP37	9
KRT77	9
LCE1D	9
MYLIP	9
PNKP	9
REV3L	9
VPS11	9
MRPL33	9
MYBPC3	9
TUBG2	9
NDUFAF5	9
RRP7A	9
SNRNP35	9
ZMAT5	9
PEX26	9
RPP21	9
RPP25	9
RNF130	9
SRP14	9
TGFBRAP1	9
WLS	9
TNNT1	9
A2M	8
PLIN1	8
WASF2	8
WASF3	8
CAP2	8
ABLIM1	8
ABLIM2	8
ABLIM3	8
TNC	8
CHCHD3	8
IDH3A	8
PFN1	8
SRGAP2	8
NUMA1	8
ARPC5L	8
SCARB2	8
BMP7	8
CFC1	8
INHBB	8
LEFTY1	8
LEFTY2	8
TDGF1	8
LGI1	8
B4GALT1	8
USP33	8
EZH1	8
JARID2	8
ELL3	8
ELL2	8
GYG2	8
AGPS	8
AICDA	8
AJUBA	8
EIF4EBP1	8
MAPKAP1	8
PHF20	8
PPP2R5B	8
THOC3	8
ERLIN1	8
UBXN1	8
NF2	8
PTTG1	8
CHL1	8
ANXA2	8
PLAT	8
CLVS1	8
CLVS2	8
DPYSL2	8
CD22	8
RPS6KA2	8
APAF1	8
LIN7C	8
STXBP1	8
APH1B	8
APOOL	8
GGA2	8
TGFB2	8
PRDX1	8
PLD1	8
KIF23	8
CNGA2	8
CNGA4	8
RTN4	8
ARHGEF1	8
ARHGEF6	8
BCL7C	8
ARID4A	8
BBS1	8
RMND5A	8
AVPR2	8
KIF3A	8
ASB4	8
ASB6	8
HMGA2	8
CXXC1	8
PYGO2	8
STOM	8
RPS6KA5	8
H2AFY	8
CREB3	8
MBTPS2	8
ATG4B	8
NR2E1	8
TMEM199	8
SYCP3	8
TIMELESS	8
ENY2	8
MRPS16	8
MRPS18C	8
MRPS21	8
MRPS24	8
MRPS33	8
MRPS6	8
TTK	8
AUTS2	8
LRP5	8
RNF146	8
TNKS	8
WNT8A	8
WNT8B	8
BBS5	8
TTC8	8
BBS2	8
BCAN	8
CCDC94	8
BLOC1S6	8
BCKDHA	8
DBT	8
BDP1	8
USP13	8
BEGAIN	8
NAPG	8
CUX1	8
TGFB3	8
BHLHE41	8
TNFSF11	8
TNFSF14	8
BLK	8
SNAPIN	8
BMP1	8
RINT1	8
PTCH1	8
PEBP1	8
CIAO1	8
PMS2	8
TOP1	8
TRIM9	8
LTV1	8
MASP1	8
C2CD3	8
CD81	8
CKAP4	8
PROS1	8
CACNA2D1	8
CACNA2D3	8
CACNA2D4	8
CACNA1D	8
CACNA1S	8
PHKB	8
GANAB	8
SDC1	8
SOD1	8
FGR	8
HIST1H3J	8
CCAR1	8
COMMD5	8
TLR6	8
CD151	8
HLA-DMB	8
HLA-DOA	8
HLA-DOB	8
RNF19B	8
PARD6G	8
SEPT6	8
HLTF	8
LIMS1	8
SLBP	8
CENPP	8
USP10	8
MBD3L2	8
RAB13	8
RAB32	8
RIC1	8
VTA1	8
CHMP1B	8
WDR34	8
CNOT10	8
CNOT4	8
TNKS1BP1	8
COG8	8
COL4A1	8
COL4A5	8
FBXL14	8
FBXO21	8
SSU72	8
INTS9	8
IRF1	8
STRIP2	8
SOCS6	8
NCF2	8
ITGB5	8
VBP1	8
UTP20	8
NHEJ1	8
SSR4	8
DHX37	8
NLGN3	8
GRIA3	8
PPID	8
DNAJC7	8
FNBP1	8
POU5F1	8
PKP3	8
NDNL2	8
NDUFA3	8
EEF1A2	8
EEF1B2	8
SDCBP	8
SOS2	8
NFE2L2	8
PPP1R15A	8
SSB	8
EMC8	8
EMC9	8
ENO3	8
EPM2A	8
UBE2J1	8
SAFB	8
F8	8
NOL9	8
FGFR1OP2	8
PTPRA	8
GNAO1	8
KCNJ16	8
GABRB3	8
GBE1	8
NUPL2	8
GNL2	8
GNG7	8
TAF4B	8
GTF3C4	8
UBR4	8
TAF1A	8
SYNCRIP	8
NF1	8
SURF4	8
MAPKAPK3	8
PELI1	8
USP4	8
IL20RB	8
IL9	8
IL9R	8
PRKG2	8
TRPC1	8
RAB4A	8
KRT82	8
MOB1A	8
LCE4A	8
LCE5A	8
LSM1	8
SMG6	8
MCMBP	8
MLXIPL	8
VPS18	8
MYBPC1	8
MYBPC2	8
THRB	8
UBAC1	8
POLE4	8
PDCD7	8
ZFYVE9	8
POP7	8
RPP40	8
UNC13B	8
VPS16	8
TEAD1	8
SEC23B	8
TCERG1	8
STX2	8
SNX2	8
TRAPPC11	8
ZNRF2	8
KLKB1	7
AAR2	7
NARS	7
TARSL2	7
ESF1	7
ABCA1	7
WIPF1	7
CAP1	7
PAK4	7
HSD17B4	7
TYSND1	7
HLCS	7
SUCLA2	7
ACAN	7
ACD	7
CS	7
PYGB	7
IDH3G	7
FMNL1	7
PFN2	7
PARVB	7
KIF11	7
BAMBI	7
JAG1	7
COQ3	7
COQ5	7
COQ6	7
COQ7	7
COQ9	7
MTNR1B	7
CALCRL	7
GIT2	7
PAAF1	7
AEBP2	7
GOT1	7
AGER	7
S100B	7
AGO4	7
ITPR1	7
AHR	7
HBA1	7
AKAP10	7
CBY1	7
DENND1A	7
TTR	7
PGK1	7
TRMT112	7
VIMP	7
RNF34	7
DOK2	7
CCDC8	7
ANP32A	7
PAPPA	7
CAV3	7
NECAP1	7
MYO6	7
AP3S1	7
LIN7B	7
CD36	7
MIA3	7
IMMT	7
MTX2	7
BACE1	7
CASP6	7
PKD1	7
LINGO1	7
RTN4R	7
ARHGEF25	7
BCL7B	7
WDR26	7
DRD2	7
UBR2	7
HIRA	7
HMGA1	7
UBN1	7
SETD1B	7
ASNA1	7
SEC61B	7
FOXK2	7
ATF3	7
ATF4	7
ATF6	7
STX17	7
WDFY3	7
UBA3	7
ATP1B2	7
ATP1B3	7
ATP5J2	7
VDAC2	7
VDAC3	7
ATP6V1H	7
INCENP	7
NCAPH	7
SEPT1	7
SKA1	7
TNKS2	7
USP34	7
AXL	7
HLA-F	7
TAPBP	7
HSPA6	7
BAK1	7
EMD	7
BAZ2A	7
BBS9	7
LZTFL1	7
BLOC1S3	7
RNF181	7
KDM2B	7
NEK9	7
CD40LG	7
LTB	7
TNFRSF11A	7
TNFSF12	7
XRCC2	7
BLOC1S2	7
BMS1	7
WDR74	7
MRAS	7
EME1	7
RAD51B	7
FAM96B	7
RIMS1	7
PPL	7
CENPE	7
C1QA	7
C1QBP	7
ITGAX	7
PRKCSH	7
FBXL3	7
CAPNS1	7
DSG1	7
FAF1	7
ZZZ3	7
CCDC93	7
OBSL1	7
PKMYT1	7
CDKN2C	7
TUBAL3	7
CD274	7
CHP1	7
CD47	7
SIRPA	7
CTLA4	7
KCTD6	7
FBXO4	7
TRIP10	7
SEPT9	7
DDX17	7
LRWD1	7
NCAPD2	7
NIPBL	7
PARVA	7
MCM8	7
RNF40	7
UVSSA	7
GTSE1	7
KLK5	7
TUBB4A	7
RNF185	7
CGA	7
MINOS1	7
TIMM10	7
PARP2	7
ITGA1	7
HPS1	7
HPS4	7
RAB18	7
RAB38	7
RAB39A	7
RGP1	7
RIN3	7
CHMP4A	7
CHRNB4	7
SFTPA1	7
CNTFR	7
CRLF1	7
FTL	7
CNTN1	7
COG2	7
COG5	7
COG7	7
COL18A1	7
COL2A1	7
KLC4	7
DCAF16	7
KBTBD6	7
TMED9	7
COX8A	7
RARB	7
CRBN	7
PRKG1	7
IRF5	7
SP100	7
MAP4K1	7
PAG1	7
IWS1	7
SOX2	7
PRSS1	7
UBR1	7
KBTBD7	7
DCAF15	7
SOCS5	7
WSB1	7
CYBB	7
CYSLTR1	7
GCG	7
DLST	7
DCLRE1B	7
POLL	7
POLM	7
TMPRSS6	7
EDC3	7
PATL1	7
MAGT1	7
SSR1	7
SNUPN	7
OTUD5	7
NEB	7
PDK2	7
GRIK2	7
NLGN1	7
NLGN2	7
SNTG2	7
HSPA4L	7
DPF1	7
DSC1	7
DUSP1	7
E2F2	7
PHF19	7
EPHA7	7
EFNA5	7
SMC6	7
ICE2	7
ELN	7
EMC4	7
HIST1H2AC	7
RORA	7
NGEF	7
ETS1	7
TGM1	7
EXOC6B	7
VCAM1	7
F5	7
PARD3	7
FGF1	7
NR3C2	7
SRSF10	7
KCNJ10	7
KCNJ4	7
GABRA1	7
GABRG2	7
GABRQ	7
MAP3K4	7
GATA2	7
GATA4	7
PYGL	7
PYGM	7
RABEP1	7
PLCB4	7
GNAL	7
GNAT3	7
OPRM1	7
IFT122	7
IFT140	7
TTC21B	7
WDR19	7
WDR35	7
RPRD1A	7
GTF3C1	7
GTF3C2	7
KLRK1	7
HMG20B	7
PPIL1	7
PBX1	7
SHOC2	7
TOMM70A	7
RAD9B	7
UBE2G1	7
IL22	7
IL23A	7
IL23R	7
IL17RA	7
IL2	7
IL33	7
IL21	7
IL21R	7
INTS12	7
INTS8	7
PELI2	7
PELI3	7
TLR8	7
UBE2O	7
JAM3	7
KANSL1	7
KRT10	7
MOB1B	7
LCE2A	7
LCE2D	7
LCE3B	7
LGR4	7
SERPINE1	7
LUC7L2	7
RSL24D1	7
MARK4	7
NFYB	7
NANOG	7
SCNN1B	7
TSC22D3	7
NME1	7
UBXN6	7
PHYH	7
PFDN4	7
PFDN6	7
PJA1	7
PPFIA1	7
PPFIA2	7
PPFIA3	7
TP53BP2	7
PPP4R2	7
RAP1GAP2	7
RNPC3	7
USP9X	7
TEAD4	7
SEPT4	7
TIMM9	7
SNRNP48	7
VPS33A	7
TNNT2	7
TRAPPC13	7
MAGED1	6
PEX3	6
HSD17B10	6
ACACA	6
GOLGB1	6
CXCL8	6
ACOX1	6
GSN	6
BANF1	6
ACTL6B	6
BMP4	6
CACNG4	6
KIF13B	6
APPL1	6
ADRA1B	6
ADSL	6
GART	6
HEXIM1	6
SMDT1	6
